07/02/2025 10:02:56:336,Moved,542.5,604.25,0.00,1.00,10.97
07/02/2025 10:02:56:352,Moved,542.5,594.25,0.00,1.00,11.10
07/02/2025 10:02:56:372,Moved,537.5,555.5,0.00,1.00,11.26
07/02/2025 10:02:56:382,Moved,536.25,533,0.00,1.00,11.40
07/02/2025 10:02:56:407,Moved,532.5,454.25,0.00,1.00,11.59
07/02/2025 10:02:56:414,Stationary,532.5,454.25,0.00,1.00,11.69
07/02/2025 10:02:56:439,Moved,532.5,359.25,0.00,1.00,11.91
07/02/2025 10:02:56:451,Moved,532.5,324.25,0.00,1.00,11.98
07/02/2025 10:02:56:472,Moved,533.75,259.25,0.00,1.00,12.22
07/02/2025 10:02:56:488,Moved,533.75,195.5,0.00,1.00,12.33
07/02/2025 10:02:56:488,Moved,532.50,48.00,0.00,1.00,12.48
07/02/2025 10:02:56:510,Moved,532.5,134.25,0.00,1.00,12.48
07/02/2025 10:02:56:526,Moved,532.5,105.5,0.00,1.00,12.48
07/02/2025 10:02:56:541,Moved,536.25,51.75002,0.00,1.00,12.48
07/02/2025 10:02:56:555,Moved,537.5,25.50002,0.00,1.00,12.48
07/02/2025 10:02:56:573,Moved,542.5,-19.49998,0.00,1.00,12.48
07/02/2025 10:02:56:590,Ended,543.75,-40.74998,0.00,1.00,12.48
07/02/2025 10:02:56:590,Ended,543.75,-40.75,0.00,1.00,12.48
07/02/2025 10:02:57:093,Moved,543.75,-40.75,0.00,1.00,17.57
07/02/2025 10:02:57:519,Began,553.75,564.25,0.00,1.00,17.57
07/02/2025 10:02:57:519,Began,553.75,564.25,0.00,1.00,17.57
07/02/2025 10:02:57:541,Moved,542.5,430.5,0.00,1.00,17.57
07/02/2025 10:02:57:555,Moved,540,399.25,0.00,1.00,17.57
07/02/2025 10:02:57:574,Moved,535,330.5,0.00,1.00,17.57
07/02/2025 10:02:57:591,Moved,531.25,256.75,0.00,1.00,17.57
07/02/2025 10:02:57:603,Moved,528.75,219.25,0.00,1.00,17.57
07/02/2025 10:02:57:621,Moved,527.5,143,0.00,1.00,17.57
07/02/2025 10:02:57:634,Moved,526.25,105.5,0.00,1.00,17.57
07/02/2025 10:02:57:654,Ended,525,71.75002,0.00,1.00,17.57
07/02/2025 10:02:57:654,Ended,525.00,71.75,0.00,1.00,17.57
07/02/2025 10:02:58:145,Moved,525.00,71.75,0.00,1.00,21.42
07/02/2025 10:02:58:223,Began,592.5,654.25,0.00,1.00,21.42
07/02/2025 10:02:58:223,Began,592.50,654.25,0.00,1.00,21.42
07/02/2025 10:02:58:238,Moved,592.5,654.25,0.00,1.00,21.42
07/02/2025 10:02:58:251,Stationary,592.5,654.25,0.00,1.00,21.42
07/02/2025 10:02:58:264,Moved,592.5,649.25,0.00,1.00,21.42
07/02/2025 10:02:58:276,Moved,592.5,640.5,0.00,1.00,21.42
07/02/2025 10:02:58:296,Moved,592.5,610.5,0.00,1.00,21.42
07/02/2025 10:02:58:305,Moved,591.25,590.5,0.00,1.00,21.42
07/02/2025 10:02:58:323,Moved,591.25,569.25,0.00,1.00,21.42
07/02/2025 10:02:58:336,Moved,588.75,516.75,0.00,1.00,21.42
07/02/2025 10:02:58:352,Moved,587.5,489.25,0.00,1.00,21.42
07/02/2025 10:02:58:379,Moved,580,394.25,0.00,1.00,21.42
07/02/2025 10:02:58:390,Moved,577.5,361.75,0.00,1.00,21.42
07/02/2025 10:02:58:406,Moved,567.5,296.75,0.00,1.00,21.42
07/02/2025 10:02:58:421,Moved,563.75,265.5,0.00,1.00,21.42
07/02/2025 10:02:58:433,Moved,557.5,204.25,0.00,1.00,21.42
07/02/2025 10:02:58:446,Moved,556.25,175.5,0.00,1.00,21.42
07/02/2025 10:02:58:462,Moved,555,148,0.00,1.00,21.42
